start_frame,end_frame,tracking_id,team_id,duration_frames,duration_seconds,max_speed,avg_speed,distance
14.0,118.0,9.0,1,99.0,3.5357142857142856,7.075271624494057,6.000023333023495,21.214368213190212
46.0,146.0,13.0,0,101.0,3.607142857142857,6.424396134799764,5.614223505646926,20.251306216797843
6084.0,6274.0,115.0,0,162.0,5.785714285714286,7.256153704373365,6.1689500448346815,35.6917824022578
6091.0,6187.0,116.0,1,97.0,3.4642857142857144,6.592711459457396,5.514307550869415,19.10313687265475
6146.0,6255.0,120.0,0,110.0,3.9285714285714284,5.800751864528462,5.487099711000113,21.556463150357583
6172.0,6271.0,121.0,0,100.0,3.5714285714285716,5.864396134799764,5.405586872718646,19.305667402566595
9202.0,9446.0,168.0,0,97.0,3.4642857142857144,8.808939703624318,8.124138554315977,28.144337134594632
7542.0,7647.0,169.0,1,103.0,3.6785714285714284,7.16614711418835,5.210756875140296,19.16814136212322
9238.0,9396.0,169.0,1,89.0,3.1785714285714284,7.461750979388586,6.038233876446347,19.192957678704456
9029.0,9148.0,202.0,0,105.0,3.75,7.16614711418835,6.101909210443693,22.88215953916384
9043.0,9177.0,206.0,0,121.0,4.321428571428571,6.92443258191538,5.791416966038929,25.02719474609679
15261.0,15429.0,365.0,1,135.0,4.821428571428571,7.075271624494057,5.833711616383032,28.1268238647039
15448.0,15542.0,375.0,0,84.0,3.0,8.335700026177054,6.776086294014536,20.32825888204361
15476.0,15597.0,380.0,0,107.0,3.8214285714285716,6.515271624494057,5.864221728690495,22.40970446321011
15581.0,15704.0,383.0,0,91.0,3.25,8.763501958777173,6.9837560451843155,22.697207146849028
16458.0,16634.0,426.0,1,97.0,3.4642857142857144,8.854377448471464,7.427353585250248,25.73047492033122
19010.0,19111.0,517.0,0,95.0,3.392857142857143,6.46419410944443,5.4236207535180965,18.401570413722123
19338.0,19441.0,519.0,1,95.0,3.392857142857143,8.854377448471464,6.945155192386057,23.56391940273841
24645.0,24732.0,608.0,1,88.0,3.142857142857143,6.292198067399882,5.566871041616178,17.495880416507987
24080.0,24242.0,711.0,1,86.0,3.0714285714285716,7.256153704373365,6.180217443776638,18.982096434456825
25648.0,25751.0,747.0,0,87.0,3.107142857142857,6.795915231902415,5.53029911939566,17.18342940669367
25640.0,25732.0,769.0,0,84.0,3.0,8.480464848798613,6.63157624015143,19.89472872045428
28833.0,28948.0,873.0,0,101.0,3.607142857142857,7.111388881751806,5.7968402586634635,20.91003093303607
28794.0,28962.0,875.0,0,107.0,3.8214285714285716,8.335700026177054,6.333870126540954,24.20443226928151
30671.0,30754.0,905.0,0,84.0,3.0,6.132472986986447,5.424973641124543,16.274920923373635
30642.0,30767.0,941.0,1,126.0,4.5,6.64746969189394,5.682755184953329,25.57239833228998
30685.0,30810.0,945.0,1,126.0,4.5,6.132472986986447,5.296429153931047,23.8339311926897
31556.0,31691.0,963.0,0,121.0,4.321428571428571,6.64746969189394,5.915361477165352,25.562812097750275
31745.0,31948.0,991.0,1,200.0,7.142857142857143,6.46419410944443,5.7071303119739705,40.76521651409979
