sprint_id,matched_track,frame,frame_difference,match_type,angle,velocity_diff,proximity_duration,max_distance,target_team,matched_team,score
9.0,7,14.0,-1.0,start_match,1.9258868275494951,0.5099019513592785,24,20.0,1.0,1.0,0.2238708841683856
115.0,287,6084.0,-6.0,start_match,1.630756074501396,0.10000000000000009,30,26.92582403567252,0.0,1.0,0.2432327324345638
116.0,287,6091.0,-10.0,start_match,3.1798301198642793,0.4472135954999578,23,14.560219778561036,1.0,1.0,0.20348859311991901
120.0,276,6146.0,-16.0,start_match,2.6025622024996635,0.09999999999999998,13,7.211102550927978,0.0,0.0,0.26922476767916126
121.0,252,6172.0,-6.0,start_match,5.770936221574267,0.2,28,6.082762530298219,0.0,0.0,0.10180624147716179
206.0,360,9043.0,38.0,start_match,11.309932474020162,0.36055512754639896,43,21.213203435596427,0.0,0.0,0.18656182371561414
365.0,590,15261.0,-59.0,start_match,8.714732874861145,0.42426406871192857,36,23.323807579381203,1.0,0.0,0.3351464774810555
380.0,611,15476.0,-25.0,start_match,0.0,0.0,15,6.4031242374328485,0.0,0.0,0.19999999999999998
517.0,672,19111.0,-18.0,end_match,6.009005957494535,0.5,5,5.0,0.0,0.0,0.45672670638329693
608.0,731,24645.0,-64.0,start_match,6.483073692897262,0.3535533905932738,5,2.23606797749979,1.0,1.0,0.4105978360713032
